Name,Category,Link
Calculus and its Applications,Mathematics,https://drive.google.com/drive/folders/1gq_SBH1Owa-HKHGm8PBs1Qr4yJJ7IdFZ?usp=drive_link
Physics,Science,https://drive.google.com/drive/folders/1pFi3H9ZQQLS-Gt8dgD60ZVLkUqhHqJ9q?usp=drive_link
Chemistry,Science,https://drive.google.com/drive/folders/1YJJXHZ51FL10OIL_R2dSsN91AoZW9DYs?usp=drive_link
Professional Ethics,General,https://drive.google.com/drive/folders/1R6sR5gNKfiwOSiIWbg0uZMRV-aSy37Ki?usp=drive_link
English Language Proficiency,Language,https://drive.google.com/drive/folders/1rBuLuoM3AV3ronN_hQSCu-kHdbIP1vl9?usp=drive_link
Engineering Graphics,Engineering,https://drive.google.com/drive/folders/1zUJ_rdBEqx2w3BkqsfSz0A5zJWPsPawO?usp=drive_link
Basic Sciences Laboratory,Laboratory,https://drive.google.com/drive/folders/1Xv8pmeladVajH6Xgumd7t5F9z7iSkioL?usp=drive_link
Engineering Practices,Engineering,https://drive.google.com/drive/folders/1ilpO12RvmNdqbAn84M7RK3TN-zSvh4ye?usp=drive_link
,,
Complex Variables and Transforms,Mathematics,https://drive.google.com/drive/folders/1bZOuCuzRrZl8eHs7StszkKVYJqZRer_x?usp=drive_link
Materials Science,Engineering,https://drive.google.com/drive/folders/1navNSTMvU_d9raUAeBMlimd3jQfTcBE0?usp=drive_link
Chemistry of Engineering Materials,Science,https://drive.google.com/drive/folders/1Lt4vuDyBr9mINf7I4HJ6PIo-4LNGCZOF?usp=drive_link
Engineering Mechanics,Engineering,https://drive.google.com/drive/folders/1xpDwPEV-7-rjejDIP-Eykap7x0e5LRk1?usp=drive_link
Basics of Electrical and Electronics Engineering,Engineering,https://drive.google.com/drive/folders/1edTxUVHpbLtJ7fv77xjNL8bhyHd5aWmU?usp=drive_link
Language Elective,Language,https://drive.google.com/drive/folders/19tOo8imq2lxuBEiYDhLGKMQsGfDcuepz?usp=drive_link
Electrical and Electronics Engineering Laboratory,Laboratory,https://drive.google.com/drive/folders/1pEjtNP8MEFfS8V5MTKF9cGTEOFTVuxl-?usp=drive_link
,,
,,
,,
Numerical Methods,Mathematics,https://drive.google.com/drive/folders/1e9aDcJhgCockdVZYsNrvvl4cKfZfKvUi?usp=drive_link
Engineering Metallurgy,Engineering,https://drive.google.com/drive/folders/1hchUcaWjwhI5yb5lM3M_l1MSha8w-hTF?usp=drive_link
Strength of Materials,Engineering,https://drive.google.com/drive/folders/1lfXeDPTRkKTShlR4aAdagy5lkY75DWfA?usp=drive_link
Fluid Mechanics and Machinery,Engineering,https://drive.google.com/drive/folders/17H3Ws6lSrDRz62RHoIRuh_3JdZxqqlKS?usp=drive_link
Welding Technology,Manufacturing,https://drive.google.com/drive/folders/1f9mo5wsIGLopGfV1seMk5jdHZhiMm9u2?usp=drive_link
Economics for Engineers,General,https://drive.google.com/drive/folders/114wSNcXEwoKwnUibpWXE1_V9JO13xQYy?usp=drive_link
Machine Drawing,Engineering,https://drive.google.com/drive/folders/1l8vc1KxfBH2WS4WLb6YkfF3H98Tk3a96?usp=drive_link
Metallurgy and Strength of Materials Laboratory,Laboratory,https://drive.google.com/drive/folders/1455FIMUmfkU6-yEs1Uk4UaMnDrpyaLSS?usp=drive_link
,,
Probability and Statistics,Mathematics,https://drive.google.com/drive/folders/1uJUO55lq4R6OZ7FQx2uZHtDeV8N1q8AO?usp=sharing
Thermal Systems and Heat Transfer,Engineering,https://drive.google.com/drive/folders/1smzgqkBmX96Ifyjn1565JMfAy5AxS7Z2?usp=sharing
Metal Forming Processes,Manufacturing,https://drive.google.com/drive/folders/1TxWhaPbZV9BNmYkBifCRpJ3NPORtB_9X?usp=sharing
Foundry Technology,Manufacturing,https://drive.google.com/drive/folders/1XvKiFrizckQKM4LYDa4UWm9lS4FXVgBl?usp=sharing
Mechanics of Machines,Engineering,https://drive.google.com/drive/folders/1netgVAi7mSvpGjV8IgSUEOLj_GORchIy?usp=sharing
Machining Technology,Manufacturing,https://drive.google.com/drive/folders/1bkN_MnPbq3A82pklvM1dpqp5fb80aRau?usp=sharing
Thermal Engineering and Fluid Machinery Laboratory,Laboratory,https://drive.google.com/drive/folders/1CLH1wspqYY5o-6ZzoEMzNTM14TLPZOQx?usp=sharing
Machining Technology Laboratory,Laboratory,https://drive.google.com/drive/folders/1A5riAdUZ1DhndD-jXh26rHaxorP2PL3a?usp=sharing
Soft Skills Development,General,https://drive.google.com/drive/folders/1NKqaUUsxolICbqEC1bA0ClxV8p51k54m?usp=sharing
Indian Constitution,General,https://drive.google.com/drive/folders/1uwmuVaOlDOIz93_xoKv_M9Waxn8bOyOW?usp=sharing
Computer Numerical Control Machines,Manufacturing,https://drive.google.com/drive/folders/1y3ylHTmKuwc9TZSTxgogMeJudGIwHZYG?usp=sharing
Process Planning and Cost Estimation,Manufacturing,https://drive.google.com/drive/folders/14YlfXarG6Gi-D1rWdPedMrTHKJosmjHM?usp=sharing
Manufacturing Metrology,Manufacturing,https://drive.google.com/drive/folders/1jbcTzx2hfAVCNdcrCqaAAi9eoZhtRrOb?usp=sharing
Design of Machine Elements,Engineering,https://drive.google.com/drive/folders/11F3LLTQre_wtnJT60lr65OSi_e5WLFHL?usp=sharing
Applied Hydraulics and Pneumatics,Engineering,https://drive.google.com/drive/folders/1LaUBm_ZttmLza0nFiQvyoKUru32bvK4Y?usp=sharing
,,
Manufacturing Technology Laboratory,Laboratory,https://drive.google.com/drive/folders/1d-iCybNTsY-mu6xj6tlXyv269RR6Wxbk?usp=sharing
Metrology and Computer Aided Inspection Laboratory,Laboratory,https://drive.google.com/drive/folders/1X9HHW5TilWZvLjZ6vvzRr-hmVZs7ckVj?usp=sharing
Business and Managerial Communications,Management,https://drive.google.com/drive/folders/1TfmB-FUYoWriv-kUE17Pl3iDTbTJcqvf?usp=sharing
Quantitative Methods In Management,Management,https://drive.google.com/drive/folders/1MoDtPoLQAQ0jPQJtzslX51XKiPYj3O9S?usp=sharing
"Jigs, Fixtures and Die Design",Manufacturing,https://drive.google.com/drive/folders/138okRaFS8Snef3oOz_0Zlv5xyTIrTU2C?usp=sharing
Design for Manufacture and Assembly,Manufacturing,https://drive.google.com/drive/folders/1RlPsx7u_aTWoIlJxns7sLk0icX-gpjBb?usp=sharing
Automation and Robotics,Engineering,https://drive.google.com/drive/folders/1c2TQxeeUqHeOEWWiZiA7JtAszDM6yFLB?usp=sharing
,,
,,
Fluid Power Laboratory,Laboratory,https://drive.google.com/drive/folders/18oxFor2ye_vYJhh5TGJPu_wi0VaGJMDT?usp=sharing
"CAD, CAM and CAE Laboratory",Laboratory,https://drive.google.com/drive/folders/1sefAHaq478vQu3MevV7IF9CSpeojSZpx?usp=sharing
Quantitative and Reasoning Skills,Aptitude,https://drive.google.com/drive/folders/1X31qZTZnW736YsQmZFt0KqwRuz9uPzq1?usp=sharing
Environment Conscious Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1A2vMy4W3RH2kQilga7XdokJZ5VeySqgd?usp=sharing
Production and Operations Management,Management,https://drive.google.com/drive/folders/1ulQCQwg3ygmWwe-Ezh9ZrkpkxIqKP2yf?usp=sharing
,,
,,
,,
Industrial Engineering and Lean Practices Laboratory,Laboratory,https://drive.google.com/drive/folders/1SRpoHL-hDVj36YgD8fbKmfop0TQaT-lQ?usp=sharing
Innovation Practices,General,https://drive.google.com/drive/folders/1couk8cDgBGaNUZf2ZZhPNyUu2vF4vCAF?usp=sharing
,,
,,
,,
,,
Communication Skills for Engineers,Language,https://drive.google.com/drive/folders/1Qklj9savbmA5Vczs0meWCex3NV6C9_W1?usp=drive_link
,,
,,
,,
Mechatronics,Engineering,https://drive.google.com/drive/folders/1vveuDPHKvM-9tci5L0RMYz2owlWFia8y?usp=sharing
Modeling and Control of Dynamic Systems,Engineering,https://drive.google.com/drive/folders/1lUOKK5xG1N6Oi7yy6rmywGHdOaUygnf9?usp=sharing
Maintenance and Safety Engineering,Engineering,https://drive.google.com/drive/folders/1A541gpHpNMjQlZECY7XoMVsFt8iqh0KO?usp=sharing
Finite Element Applications in Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1dp9Uen3jbE0Df90YA7XBx8Tb8QpfCfJs?usp=sharing
Design and Manufacture of Gears,Manufacturing,https://drive.google.com/drive/folders/1OYfqMEjbUeK_2D5ETlStzA71Ek8ScbEx?usp=sharing
Product Lifecycle Management,Management,https://drive.google.com/drive/folders/1LiT2-J4sBzSmwKHds6SRhMJvEDGQQL0u?usp=sharing
Surface Engineering and Tribology,Engineering,https://drive.google.com/drive/folders/1VnJUcu2TSN4Tv8epz8m3_WrWtA_hD5RJ?usp=drive_link
Manufacture of Automotive Components,Manufacturing,https://drive.google.com/drive/folders/1GDpsPJasYv8yNHyhWB2Oc6K7CtjAutN4?usp=sharing
Lean Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1Fr90M0M7UjSfuqHXHAP2bDVwZ5XUgeNG?usp=sharing
Material Handling Systems,Engineering,https://drive.google.com/drive/folders/1Gx3sQBipQmnwAsMtzkzmsHEos8fL8_7F?usp=sharing
Non -Traditional Machining Techniques,Manufacturing,https://drive.google.com/drive/folders/11-fLa-GHw0B0pEILbBVcd5LIZs0Prr-Q?usp=drive_link
Supply Chain Management,Management,https://drive.google.com/drive/folders/1QksLaiYNKuTxcGOqQec4KqPWJz_AHZOH?usp=sharing
PLC Programming and Applications,Engineering,https://drive.google.com/drive/folders/1UKykVFiXGNH3nJewSKyQK4k-ZUKbdnYr?usp=sharing
Mechanical Vibrations,Engineering,https://drive.google.com/drive/folders/1ee00rfQ4tQ9VPDxsPY5OqgZu24GnQdFk?usp=sharing
Precision Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1fmFFwZeU7xMWTPPJTyr730e-zTrotzj6?usp=sharing
Product Development Strategies,Management,https://drive.google.com/drive/folders/1fJNgabB90VXBGnQDtSvWlezvZp9kbQzj?usp=sharing
Composite Materials Processing,Engineering,https://drive.google.com/drive/folders/1Vcs4Uw2GkD-D5q1NBsxy_ZJIhJJDPjoH?usp=sharing
Industrial Ergonomics,Engineering,https://drive.google.com/drive/folders/1tlLwbnX36nU9oML1-AirJSpPFoG08s5R?usp=sharing
Computational Fluid Dynamics,Engineering,https://drive.google.com/drive/folders/14KY-3msRpj3fioWG0I0NzHsMojcfMkox?usp=sharing
Six Sigma,Management,https://drive.google.com/drive/folders/10sT0XYpUPpLiSiejY1nRb1s3gjfQ8pT8?usp=sharing
Additive Manufacturing,Manufacturing,https://drive.google.com/drive/folders/1p2tYeCPXi2lBsaEKK9cKrkuUAE8I0uuL?usp=sharing
Measurement Systems,Engineering,https://drive.google.com/drive/folders/18eFDEG5lxFoxoGpySFOCl4EuWBFL95Y5?usp=drive_link
